,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time,cast
473,mobile,,10.0,6.0,23.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,10.0,2.0,4.0,3.0,40.0,42.0,5.0,3.0,0.0,0.5,4.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,study
474,mobile,,,,,,5.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,25.0,18.0,0.0,8.0,23.0,42.0,,,,,,,,,,,,,,,study
475,pc/laptop,2.200000047683716,8.0,1.0,27.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,18.0,10.0,15.0,10.0,12.0,42.0,4.0,2.0,3.0,1.0,3.0,7.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,study
476,mobile,,8.0,3.0,23.0,2.0,7.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,36.0,10.0,8.0,8.0,4.0,42.0,0.0,2.0,8.0,1.0,0.0,7.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,10.0,study
477,mobile,2.0,2.0,1.0,19.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,10.0,10.0,0.0,7.0,20.0,42.0,8.0,1.0,0.0,1.0,2.0,6.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,20.0,study
478,tablet,,6.0,3.0,22.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,,3.0,4.0,2.0,1.0,20.0,10.0,0.0,2.0,8.0,42.0,6.5,3.5,0.0,0.5,1.5,5.5,2.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,study
479,pc/laptop,,4.0,3.0,21.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,22.0,10.0,0.0,5.0,15.0,42.0,0.0,0.0,0.0,4.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,study
480,pc/laptop,1.600000023841858,2.0,1.0,25.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,20.0,10.0,0.0,12.0,15.0,42.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,study
481,pc/laptop,3.0999999046325684,2.0,1.0,19.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,12.0,7.0,0.0,4.0,,42.0,0.0,3.0,0.0,1.0,12.0,8.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,10.0,study
482,pc/laptop,2.299999952316284,6.0,1.0,21.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,8.0,5.0,3.0,30.0,42.0,0.0,2.0,0.0,2.0,4.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,study
483,pc/laptop,2.700000047683716,22.0,1.0,33.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,35.0,2.0,2.0,42.0,0.0,0.0,7.0,0.0,0.0,7.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,work
484,mobile,,6.0,4.0,23.0,2.0,7.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,14.0,5.0,10.0,1.0,8.0,42.0,14.0,5.0,10.0,1.0,3.0,42.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,study
485,pc/laptop,,4.0,3.0,30.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,13.0,14.0,8.0,10.0,2.0,42.0,0.0,1.0,0.0,3.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,study
486,pc/laptop,2.0,2.0,1.0,27.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,16.0,12.0,16.0,6.0,8.0,42.0,4.0,5.0,0.0,2.0,0.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,study
487,pc/laptop,2.700000047683716,4.0,1.0,21.0,1.0,6.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,14.0,9.5,15.0,6.0,12.0,42.0,6.0,2.0,5.0,2.5,1.0,6.5,3.0,3.0,2.0,1.0,2.0,2.0,2.0,10.0,study
488,mobile,,,,,,5.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,8.0,16.0,32.0,4.0,5.0,42.0,0.0,6.0,0.0,2.0,7.0,6.0,2.0,,,,,,,,work
489,pc/laptop,,,3.0,26.0,2.0,7.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,30.0,42.0,22.0,10.0,10.0,42.0,0.0,10.0,0.0,2.0,6.0,6.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,,study
490,pc/laptop,2.0,4.0,1.0,20.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,9.0,15.0,12.0,15.0,,42.0,0.0,5.0,0.0,6.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,study
491,pc/laptop,,9.0,3.0,27.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,35.0,8.0,3.0,5.0,42.0,0.0,3.0,0.0,7.0,3.0,9.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,study
492,pc/laptop,,8.0,4.0,24.0,2.0,6.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,32.0,10.0,12.0,5.0,1.0,42.0,6.0,2.0,4.0,1.0,0.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,10.0,study
493,pc/laptop,3.200000047683716,2.0,1.0,21.0,2.0,7.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,20.0,20.0,0.0,5.0,30.0,42.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,study
494,mobile,2.0,7.0,1.0,24.0,2.0,6.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,25.0,36.0,20.0,6.0,10.0,42.0,7.5,2.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,8.0,study
495,mobile,2.5,2.0,1.0,19.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,8.0,20.0,0.0,4.0,12.0,42.0,2.0,2.0,0.0,0.5,3.0,8.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,13.0,study
496,pc/laptop,2.5,10.0,1.0,23.0,2.0,7.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,30.0,0.0,0.0,70.0,5.0,42.0,0.0,0.0,0.0,10.0,3.0,8.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,study
497,pc/laptop,,2.0,3.0,19.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,7.0,42.0,10.0,2.0,2.0,42.0,3.0,8.0,0.0,0.5,0.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,study
498,pc/laptop,2.200000047683716,22.0,2.0,30.0,2.0,6.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,10.0,15.0,30.0,50.0,5.0,42.0,2.0,2.0,6.0,2.0,1.0,6.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,15.0,work
499,mobile,2.0,4.0,1.0,20.0,1.0,6.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,19.0,15.0,0.0,62.0,30.0,42.0,7.0,2.0,0.0,4.0,5.0,6.0,2.0,1.0,3.0,,2.0,2.0,2.0,10.0,study
500,pc/laptop,,2.0,3.0,19.0,2.0,5.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,25.0,20.0,0.0,10.0,15.0,42.0,5.0,10.0,0.0,0.5,,5.5,3.0,2.0,3.0,,2.0,1.0,1.0,6.0,study
501,pc/laptop,2.799999952316284,8.0,1.0,23.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,28.0,20.0,0.0,3.0,5.0,42.0,8.0,2.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,study
502,pc/laptop,,12.0,3.0,25.0,2.0,6.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,15.0,15.0,8.0,3.0,2.0,42.0,2.0,4.0,0.0,0.0,2.0,8.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,7.0,study
503,pc/laptop,2.0,11.0,2.0,26.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,10.5,24.0,10.0,7.0,3.0,42.0,0.0,4.5,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,study
504,tablet,,7.0,3.0,26.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,35.0,24.0,4.0,2.0,4.0,42.0,0.0,11.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,study
505,mobile,2.4000000953674316,6.0,1.0,22.0,2.0,6.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,8.0,35.0,10.0,5.0,5.0,42.0,0.0,4.0,8.0,3.0,2.0,6.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,10.0,study
506,pc/laptop,,3.0,3.0,22.0,2.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,30.0,30.0,20.0,10.0,10.0,42.0,4.0,6.0,0.0,2.0,1.0,6.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,study
507,mobile,2.5999999046325684,8.0,1.0,23.0,2.0,6.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,10.0,5.0,16.0,7.0,5.0,42.0,0.0,3.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,work
508,pc/laptop,,2.0,1.0,19.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,15.0,5.0,0.0,0.0,30.0,42.0,1.0,3.0,0.0,0.0,4.0,6.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,8.0,study
509,pc/laptop,,4.0,3.0,20.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,9.0,40.0,15.0,14.0,7.0,42.0,0.0,7.0,0.0,3.0,4.0,8.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,study
510,pc/laptop,,9.0,2.0,25.0,2.0,6.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,25.0,20.0,5.0,14.0,42.0,2.0,2.0,7.0,0.0,1.0,6.0,3.0,1.0,1.0,,2.0,1.0,1.0,8.0,study
511,pc/laptop,,20.0,5.0,71.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,15.0,12.0,42.0,2.0,1.0,0.0,5.0,1.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,study
512,mobile,1.5,4.0,1.0,32.0,2.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,14.0,21.0,10.0,28.0,14.0,42.0,0.0,2.0,0.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,12.0,study
513,mobile,,6.0,3.0,22.0,2.0,3.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,8.0,3.0,6.0,2.0,42.0,42.0,3.0,0.5,0.0,0.0,5.0,7.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,study
514,pc/laptop,,8.0,3.0,28.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,,3.0,4.0,1.0,2.0,3.0,1.0,3.0,2.0,25.0,10.0,0.0,5.0,30.0,42.0,0.0,2.0,8.0,1.0,6.0,7.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,10.0,study
515,pc/laptop,,9.0,3.0,23.0,1.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,30.0,15.0,20.0,2.0,5.0,42.0,8.0,0.0,3.0,0.0,5.0,8.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,5.0,study
516,pc/laptop,2.9000000953674316,7.0,1.0,25.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,9.0,5.0,2.0,2.0,6.0,42.0,5.0,1.0,0.0,0.5,3.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,10.0,study
517,pc/laptop,,4.0,4.0,20.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,26.0,15.0,0.0,5.0,15.0,42.0,0.0,5.0,0.0,1.0,5.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,15.0,study
518,pc/laptop,1.7999999523162842,8.0,2.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0,10.0,10.0,6.0,6.0,42.0,3.0,3.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,study
519,tablet,,12.0,3.0,32.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,30.0,2.0,9.0,14.0,14.0,42.0,4.0,1.0,0.0,3.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,study
520,pc/laptop,3.0,4.0,1.0,20.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,24.0,15.0,0.0,8.0,10.0,42.0,2.0,5.0,0.0,0.0,6.0,8.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,10.0,study
521,pc/laptop,,4.0,4.0,21.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,22.0,25.0,15.0,5.0,2.0,42.0,0.0,4.0,1.0,5.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,study
522,pc/laptop,2.299999952316284,13.0,1.0,33.0,2.0,6.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,0.5,20.0,0.0,20.0,7.0,42.0,0.0,2.0,0.0,6.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,study
523,pc/laptop,1.399999976158142,8.0,2.0,23.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,10.0,2.0,0.0,2.0,6.0,42.0,1.5,0.0,0.0,0.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,study
524,pc/laptop,1.100000023841858,8.0,2.0,23.0,2.0,7.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,35.0,25.0,10.0,3.0,8.0,42.0,2.0,8.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,10.0,study
525,pc/laptop,1.600000023841858,10.0,2.0,25.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,10.0,20.0,16.0,5.0,7.0,42.0,0.0,7.0,0.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,60.0,study
526,mobile,3.0,2.0,1.0,20.0,2.0,5.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,9.0,2.0,13.0,6.0,10.0,42.0,2.0,6.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,work
527,mobile,,6.0,6.0,22.0,2.0,5.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,11.0,2.0,10.0,4.0,6.0,42.0,0.0,0.0,0.0,5.0,15.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,10.0,study
528,mobile,,,,,,5.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,6.0,6.0,11.0,4.0,14.0,42.0,,,,,,,,,,,,,,,study
529,mobile,,3.0,1.0,21.0,2.0,6.0,2.0,3.0,1.0,3.0,,4.0,2.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,15.0,6.0,0.0,6.0,6.0,42.0,3.0,2.0,0.0,0.5,1.0,7.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,10.0,study
530,pc/laptop,,7.0,3.0,23.0,2.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,25.0,20.0,10.0,7.0,20.0,42.0,0.0,2.0,10.0,2.0,1.0,9.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,study
531,mobile,2.0999999046325684,8.0,2.0,23.0,2.0,7.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,17.0,12.0,10.0,2.0,3.0,42.0,6.0,2.0,0.0,0.5,1.0,5.5,3.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,study
532,mobile,,8.0,4.0,24.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,36.0,15.0,20.0,2.5,4.0,42.0,0.0,5.0,7.0,2.0,3.0,7.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,15.0,study
533,mobile,,13.0,2.0,26.0,2.0,6.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,14.0,25.0,16.0,5.0,9.0,42.0,0.0,3.0,5.0,2.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,10.0,study
534,pc/laptop,2.0999999046325684,6.0,1.0,22.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,,1.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,20.0,20.0,2.0,6.0,20.0,42.0,0.0,7.0,0.0,1.0,3.0,7.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,study
535,mobile,3.0,4.0,1.0,22.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,,3.0,3.0,10.5,3.0,9.0,2.0,21.0,42.0,0.0,0.0,1.5,0.5,3.0,5.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,6.0,study
536,pc/laptop,,6.0,3.0,22.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,22.0,5.0,0.0,5.0,8.0,42.0,1.0,0.5,0.0,1.0,2.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,10.0,study
537,pc/laptop,,12.0,3.0,25.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,40.0,35.0,9.0,4.0,5.0,42.0,6.0,7.0,0.0,2.0,2.0,6.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,7.0,study
538,pc/laptop,,,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,10.0,5.0,10.0,10.0,8.0,42.0,,,,,,,,,,,,,,,study
539,pc/laptop,2.700000047683716,4.0,1.0,21.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,15.0,30.0,3.0,5.0,10.0,42.0,6.0,5.0,0.0,2.0,2.0,6.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,180.0,study
540,mobile,2.9000000953674316,4.0,1.0,21.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,10.0,4.0,40.0,2.0,14.0,42.0,1.0,1.0,11.0,0.0,1.0,5.0,3.0,2.0,2.0,3.0,,1.0,1.0,200.0,work
541,mobile,,4.0,3.0,20.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,15.0,30.0,0.0,2.0,30.0,42.0,5.0,2.0,0.0,1.0,6.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,10.0,study
542,tablet,1.649999976158142,2.0,1.0,20.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,13.0,7.0,0.0,2.0,27.0,42.0,1.5,2.5,0.0,0.5,3.5,7.5,3.0,2.0,1.0,2.0,1.0,2.0,1.0,10.0,study
543,pc/laptop,1.5,12.0,2.0,25.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,0.0,2.0,15.0,15.0,6.0,42.0,0.0,0.0,0.0,4.0,3.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,work
544,tablet,,4.0,3.0,20.0,2.0,6.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,19.0,35.0,0.0,2.0,5.0,42.0,6.0,4.0,0.0,1.0,0.0,7.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,study
545,pc/laptop,3.299999952316284,4.0,1.0,21.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,12.0,7.0,0.0,7.0,14.0,42.0,0.0,1.0,0.0,2.0,10.0,6.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,10.0,study
546,pc/laptop,,16.0,6.0,27.0,1.0,7.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,0.0,2.0,8.0,1.0,70.0,42.0,0.0,6.0,0.0,1.0,6.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,work
547,mobile,1.899999976158142,2.0,1.0,20.0,2.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,16.0,14.0,0.0,5.0,27.0,42.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,15.0,study
548,tablet,2.0,10.0,2.0,25.0,2.0,6.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,9.0,9.0,12.0,5.0,10.0,42.0,1.5,6.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,20.0,study
549,pc/laptop,,6.0,3.0,28.0,2.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,33.0,16.0,11.0,2.0,10.0,42.0,0.0,8.0,0.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,study
550,pc/laptop,3.0,10.0,1.0,24.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,16.0,2.0,16.0,5.0,34.0,42.0,6.0,0.0,0.0,0.0,10.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,study
551,pc/laptop,,12.0,3.0,31.0,2.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,20.0,42.0,0.0,0.0,0.0,5.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,complex
552,pc/laptop,,,,,,4.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,20.0,5.0,0.0,2.0,,42.0,,,,,,,,,,,,,,,study
553,tablet,3.700000047683716,2.0,1.0,24.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,11.0,21.0,6.0,10.0,10.0,42.0,3.0,5.0,0.0,0.0,3.0,7.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,30.0,study
